gage,NP,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1311500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1378500,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
